Template,Degree Type,First,v2,v3,v5,v6,Area of Interest (Pre-select),Select Your Degree (Pre-select),,,
Program Specific,Bachelor,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology-v2,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology-v3,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology-v5,https://www.uagc.edu/success/degree/bs-cyber-data-security-technology-v6,Information Technology ,BS in Cyber & Data Security Technology,https://www.uagc.edu/success/degree/ba-marketing,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/bs-health-information-management,https://www.uagc.edu/success/degree/bs-health-information-management-v2,https://www.uagc.edu/success/degree/bs-health-information-management-v3,https://www.uagc.edu/success/degree/bs-health-information-management-v5,https://www.uagc.edu/success/degree/bs-health-information-management-v6,Health Care,BS in Health Information Management,https://www.uagc.edu/success/degree/ba-operations-management-analysis,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/bs-informational-technology,https://www.uagc.edu/success/degree/bs-informational-technology-v2,https://www.uagc.edu/success/degree/bs-informational-technology-v3,https://www.uagc.edu/success/degree/bs-informational-technology-v5,https://www.uagc.edu/success/degree/bs-informational-technology-v6,Information Technology ,BS in Information Technology,https://www.uagc.edu/success/degree/ba-organizational-management,Bachelor,Program Specific
Program Specific,Bachelor,https://www.uagc.edu/success/degree/bs-nursing,https://www.uagc.edu/success/degree/bs-nursing-v2,https://www.uagc.edu/success/degree/bs-nursing-v3,https://www.uagc.edu/success/degree/bs-nursing-v5,https://www.uagc.edu/success/degree/bs-nursing-v6,Health Care,BS in Nursing (RN to BSN),https://www.uagc.edu/success/degree/ba-political-science-government,Bachelor,Program Specific
Program Specific,Doctoral,https://www.uagc.edu/success/degree/doctorate-education,https://www.uagc.edu/success/degree/doctorate-education-v2,https://www.uagc.edu/success/degree/doctorate-education-v3,https://www.uagc.edu/success/degree/doctorate-education-v5,https://www.uagc.edu/success/degree/doctorate-education-v6,,,https://www.uagc.edu/success/degree/ba-project-management,Bachelor,Program Specific
Program Specific,Doctoral,https://www.uagc.edu/success/degree/doctorate-human-services,https://www.uagc.edu/success/degree/doctorate-human-services-v2,https://www.uagc.edu/success/degree/doctorate-human-services-v3,https://www.uagc.edu/success/degree/doctorate-human-services-v5,https://www.uagc.edu/success/degree/doctorate-human-services-v6,,,https://www.uagc.edu/success/degree/ba-psychology,Bachelor,Program Specific
Program Specific,Doctoral,https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership,https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership-v2,https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership-v3,https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership-v5,https://www.uagc.edu/success/degree/doctorate-organizational-development-leadership-v6,,,https://www.uagc.edu/success/degree/ba-real-estate-studies,Bachelor,Program Specific
Program Specific,Doctoral,https://www.uagc.edu/success/degree/doctorate-psychology,https://www.uagc.edu/success/degree/doctorate-psychology-v2,https://www.uagc.edu/success/degree/doctorate-psychology-v3,https://www.uagc.edu/success/degree/doctorate-psychology-v5,https://www.uagc.edu/success/degree/doctorate-psychology-v6,,,https://www.uagc.edu/success/degree/ba-social-criminal-justice,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership-v2,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership-v3,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership-v5,https://www.uagc.edu/success/degree/ma-early-childhood-educational-leadership-v6,Education,MA in Early Childhood Education Leadership,https://www.uagc.edu/success/degree/ba-sociology,Bachelor,Program Specific
Program Specific,Masters,https://www.uagc.edu/success/degree/ma-education,https://www.uagc.edu/success/degree/ma-education-v2,https://www.uagc.edu/success/degree/ma-education-v3,https://www.uagc.edu/success/degree/ma-education-v5,https://www.uagc.edu/success/degree/ma-education-v6,Education,MA in Education,https://www.uagc.edu/success/degree/ba-sports-recreational-management,Bachelor,Program Specific
